Part,Section,Parser ID,Node ID,Question text,Data type,Checkboxes,Dropdown list,Condition,Review hints,Repetition group,Property name,Notes
A,12 - Drug Activity,a-12-3a4f2b-0,2265,To (Month/Year),month,Estimated|Present,,"for Affirmative Answer for Drug Use, Negatively Impact",,,negativeLifeImpactEndDate,
A,12 - Drug Activity,a-12-10512c-0,2270,"Have you illegally possessed, purchased, manufactured, cultivated, trafficked, produced, transferred, shipped, received, handled, or sold any drug or controlled substance (excluding marijuana or cannabis derivatives) in the past five years or since the age of 16 (if you are under 21)?",boolean,,,,,illegalTraffickingActivities,haveIllegallyTraffickedDrugs,
A,12 - Drug Activity,a-12-7f883f-0,2274,"What type of drug or controlled substance did you illegally possess, purchase, manufacture, cultivate, traffic, produce, transfer, ship, receive, handle, or sell? (Check one. There will be an opportunity to input multiple entries.)",dropdown,,DRUG,"for Affirmative Answer for Drug Use, Possessed, Purchased, etc.",,illegalTraffickingActivities,drugType,
A,12 - Drug Activity,a-12-fbc542-0,2277,Please explain.,text,,,"for Affirmative Answer for Drug Use, Possessed, Purchased, etc., Selection of “Other” for Type of Drug in Dropdown Menu.",,illegalTraffickingActivities,drugTypeOtherExplanation,
A,12 - Drug Activity,a-12-ccb4db-0,2280,"When was the first time you illegally possessed, purchased, manufactured, cultivated, trafficked, produced, transferred, shipped, received, handled, or sold this drug or controlled substance?",month,Estimated,,"for Affirmative Answer for Drug Use, Possessed, Purchased, etc., Additional Details",,illegalTraffickingActivities,startDate,
A,12 - Drug Activity,a-12-178f16-0,2283,"When was the last time you illegally possessed, purchased, manufactured, cultivated, trafficked, produced, transferred, shipped, received, handled, or sold this drug or controlled substance?",month,Estimated,,"for Affirmative Answer for Drug Use, Possessed, Purchased, etc., Additional Details",,illegalTraffickingActivities,endDate,
A,12 - Drug Activity,a-12-5a03c2-0,2286,"How many times did you illegally possess, purchase, manufacture, cultivate, traffic, produce, transfer, ship, receive, handle, or sell this drug or controlled substance?",text,,,"for Affirmative Answer for Drug Use, Possessed, Purchased, etc., Additional Details",,illegalTraffickingActivities,howManyTimes,
A,12 - Drug Activity,a-12-10d47c-0,2288,"What were the circumstances surrounding your illegal possession, purchase, manufacturing, cultivation, trafficking, production, transference, shipping, receiving, handling, or selling of this drug or controlled substance?",text,,,"for Affirmative Answer for Drug Use, Possessed, Purchased, etc., Additional Details",,illegalTraffickingActivities,circumstances,
A,12 - Drug Activity,a-12-1e46c8-0,2290,"Did you illegally possess, purchase, manufacture, cultivate, traffic, produce, transfer, ship, receive, handle, or sell this drug or controlled substance while in a national security position?",boolean,,,"for Affirmative Answer for Drug Use, Possessed, Purchased, etc., Additional Details",,illegalTraffickingActivities,occurredWhileInNsPosition,
A,12 - Drug Activity,a-12-1d334f-0,2294,"Please explain. (Include when and how many times you illegally possessed, purchased, manufactured, cultivated, trafficked, produced, transferred, shipped, received, handled, or sold this drug or controlled substance while in a national security position.)",text,,,"for Affirmative Answer to Drug Use, Possessed Purchased, etc., National Security Position",,illegalTraffickingActivities,occurredWhileInNsPositionExplanation,
A,12 - Drug Activity,a-12-1cba6e-0,2297,"Did you illegally possess, purchase, manufacture, cultivate, traffic, produce, transfer, ship, receive, handle, or sell this drug or controlled substance while employed in a criminal justice or public safety position? (""While employed"" does not necessarily mean your use was ""on the clock"" or ""on duty"".)",boolean,,,"for Affirmative Answer for Drug Use, Possessed Purchased, etc., Criminal Justice/Public Safety Position.",,illegalTraffickingActivities,occurredWhileInCjpsPosition,
A,12 - Drug Activity,a-12-1231ce-0,2301,What criminal justice or public safety position were you in?,dropdown,,PUBLIC_SAFETY_JOB,"for Affirmative Answer for Drug Use, Possessed Purchased, etc., Criminal Justice/Public Safety Position Details.",,illegalTraffickingActivities,cjpsPositionType,
A,12 - Drug Activity,a-12-1d18b9-0,2303,"Please explain. (Include when and how many times you illegally possessed, purchased, manufactured, cultivated, trafficked, produced, transferred, shipped, received, handled, or sold this drug or controlled substance while employed in a criminal justice or public safety position.)",text,,,"for Affirmative Answer for Drug Use, Possessed Purchased, etc., Criminal Justice/Public Safety Position Details.",,illegalTraffickingActivities,cjpsPositionTypeOtherExplanation,
A,12 - Drug Activity,a-12-1c3b7a-0,2306,"Do you intend to illegally possess, purchase, manufacture, cultivate, traffic, produce, transfer, ship, receive, handle, or sell this drug or controlled substance in the future?",boolean,,,"for Affirmative Answer to Drug Use, Possessed Purchased, etc., Future Intent.",,illegalTraffickingActivities,futureUseIntent,
A,12 - Drug Activity,a-12-5c3fbf-0,2310,Why?,text,,,"for Affirmative Answer to Drug Use, Possessed Purchased, etc., Affirmative to Future Intent.",,illegalTraffickingActivities,futureUseIntentReason,
A,12 - Drug Activity,a-12-f815ed-0,2313,Why?,text,,,"for Affirmative Answer to Drug Use, Possessed Purchased, etc., Negative to Future Intent",,illegalTraffickingActivities,noFutureUseIntentReason,
A,12 - Drug Activity,a-12-6642d8-0,2316,"Do you have another instance of illegally possessing, purchasing, manufacturing, cultivating, trafficking, producing, transferring, shipping, receiving, handling, or selling any drug or controlled substance in the past five years or since the age of 16 (if you are under 21) to report?",boolean,,,"for Affirmative Answer to Drug Use, Possessed Purchased, etc., Another Instance.",,,IGNORE,
A,12 - Drug Activity,a-12-13ddf4-0,2320,"Have you ever used an illegal drug or misused a controlled substance (excluding marijuana or cannabis derivatives) while in a national security position? (Answer ""No"" if this occurred in the past five years and you listed it above.)",boolean,,,,,,previousIllegalUseUseInNsPosition,
A,12 - Drug Activity,a-12-1cc4aa-0,2324,What type of drug did you illegally use or controlled substance did you misuse while in a national security position? (Check one. There will be an opportunity to input multiple entries.),dropdown,,DRUG,for Affirmative Answer to Using/Misusing Controlled Substance While in National Security Position Outside past Five Years. Type of Drug.,,otherIllegalUseInNsPositionActivities,drugType,
A,12 - Drug Activity,a-12-129212-0,2327,Please explain.,text,,,for Affirmative Answer to Using/Misusing Controlled Substance While in National Security Position Outside past Five Years. Explanation for Selection of “Other” in Type of Drug Dropdown Menu.,,otherIllegalUseInNsPositionActivities,drugTypeOtherExplanation,
A,12 - Drug Activity,a-12-18c0ac-0,2330,When was the first time you used this illegal drug or misused this controlled substance while in a national security position?,month,Estimated,,for Affirmative Answer to Using/Misusing Controlled Substance While in National Security Position Outside past Five Years. Additional Questions.,,otherIllegalUseInNsPositionActivities,startDate,
A,12 - Drug Activity,a-12-134eb6-0,2333,When was the last time you used this illegal drug or misused this controlled substance while in a national security position?,month,Estimated,,for Affirmative Answer to Using/Misusing Controlled Substance While in National Security Position Outside past Five Years. Additional Questions.,,otherIllegalUseInNsPositionActivities,endDate,
A,12 - Drug Activity,a-12-13aad2-0,2336,How many times did you use this illegal drug or misuse this controlled substance while in a national security position?,text,,,for Affirmative Answer to Using/Misusing Controlled Substance While in National Security Position Outside past Five Years. Additional Questions.,,otherIllegalUseInNsPositionActivities,howManyTimes,
A,12 - Drug Activity,a-12-1ee2d0-0,2338,What were the circumstances surrounding your use of this illegal drug or misuse of this controlled substance while in a national security position?,text,,,for Affirmative Answer to Using/Misusing Controlled Substance While in National Security Position Outside past Five Years. Additional Questions.,,otherIllegalUseInNsPositionActivities,circumstances,
A,12 - Drug Activity,a-12-eb3b89-0,2340,Do you have another instance of using an illegal drug or misusing a controlled substance while in a national security position to report?,boolean,,,for Affirmative Answer to Using/Misusing Controlled Substance While in National Security Position Outside past Five Years. Additional Questions.,,,IGNORE,
A,12 - Drug Activity,a-12-55c065-0,2344,"Have you ever used an illegal drug or misused a controlled substance (excluding marijuana or cannabis derivatives) while employed in a criminal justice or public safety position? (""While employed"" does not necessarily mean your use was ""on the clock"" or ""on duty"". Answer ""No"" if this occurred in the past five years and you listed it above.)",boolean,,,,,,,
A,12 - Drug Activity,a-12-148f83-0,2348,What type of drug did you illegally use or controlled substance did you misuse while employed in a criminal justice or public safety position? (Check one. There will be an opportunity to input multiple entries.),dropdown,,DRUG_TYPE,for Affirmative Answer to Using/Misusing Controlled Substance While in Criminal Justice/Public Safety Position. Position Details.,,otherIllegalUseInCjpsPositionActivities,drugType,
A,12 - Drug Activity,a-12-156e31-0,2351,Please explain.,text,,,for Affirmative Answer to Using/Misusing Controlled Substance While in Criminal Justice/Public Safety Position. Explanation for Selection of “Other” in Type of Drug Dropdown Menu.,,otherIllegalUseInCjpsPositionActivities,drugTypeOtherExplanation,
A,12 - Drug Activity,a-12-13ecd2-0,2354,When was the first time you used this illegal drug or misused this controlled substance while employed in a criminal justice or public safety position?,month,Estimated,,for Affirmative Answer to Using/Misusing Controlled Substance While in Criminal Justice/Public Safety Position. Time Frame,,otherIllegalUseInCjpsPositionActivities,startDate,
A,12 - Drug Activity,a-12-12b960-0,2357,When was the last time you used this illegal drug or misused this controlled substance while employed in a criminal justice or public safety position?,month,Estimated,,for Affirmative Answer to Using/Misusing Controlled Substance While in Criminal Justice/Public Safety Position. Time Frame,,otherIllegalUseInCjpsPositionActivities,endDate,
A,12 - Drug Activity,a-12-11a7bb-0,2361,How many times did you use this illegal drug or misuse this controlled substance while employed in a criminal justice or public safety position?,text,,,for Affirmative Answer to Using/Misusing Controlled Substance While in Criminal Justice/Public Safety Position. Additional Questions.,,otherIllegalUseInCjpsPositionActivities,howManyTimes,
A,12 - Drug Activity,a-12-440c96-0,2363,What criminal justice or public safety position were you in?,dropdown,,PUBLIC_SAFETY_JOB,for Affirmative Answer to Using/Misusing Controlled Substance While in Criminal Justice/Public Safety Position. Additional Questions.,,otherIllegalUseInCjpsPositionActivities,positionType,
A,12 - Drug Activity,a-12-b47973-0,2366,Please explain.,text,,,for Affirmative Answer to Using/Misusing Controlled Substance While in Criminal Justice/Public Safety Position. Explanation for Selection “Other” in Position Dropdown Menu.,,otherIllegalUseInCjpsPositionActivities,positionTypeOtherExplanation,
A,12 - Drug Activity,a-12-69e28e-0,2369,What were the circumstances surrounding your use of this illegal drug or misuse of this controlled substance while employed in a criminal justice or public safety position?,text,,,"for Affirmative Answer to Using/Misusing Controlled Substance While in Criminal Justice/Public Safety Position., Circumstances. Another Instance.",,otherMisuseInCjpsPositionActivities,circumstances,
A,12 - Drug Activity,a-12-1447a0-0,2371,Do you have another instance of using an illegal drug or misusing a controlled substance (excluding marijuana or cannabis derivatives) while employed in a criminal justice or public safety position to report?,boolean,,,"for Affirmative Answer to Using/Misusing Controlled Substance While in Criminal Justice/Public Safety Position., Circumstances. Another Instance.",,,IGNORE,
A,12 - Drug Activity,a-12-10b18f-0,2375,"Were you ordered to get counseling or treatment as a result of your illegal use of drugs or controlled substances (excluding marijuana or cannabis derivatives), or your misuse of prescription drugs in the past five years or since the age of 16 (if you are under 21)?",boolean,,,,,,hadMandatoryTreatment,
A,12 - Drug Activity,a-12-31eb12-0,2379,Who ordered you to get this counseling or treatment? (Check one. There will be an opportunity to input multiple entries.),dropdown,,COUNSELING_ORDERED_BY,for Affirmative Answer to Ordered to Counseling/Treatment because of Illegal Drug Use or Misuse of Prescription Drugs in the Past Five Years. Who Ordered.,,mandatoryTreatmentActivities,orderedBy,
A,12 - Drug Activity,a-12-43b96c-0,2382,Please explain.,text,,,for Affirmative Answer to Ordered to Counseling/Treatment because of Illegal Drug Use or Misuse of Prescription Drugs in the Past Five Years. Explanation for Selection of “Other” on Who Ordered Dropdown Menu.,,mandatoryTreatmentActivities,orderedByOtherExplanation,
A,12 - Drug Activity,a-12-74847e-0,2385,Did you get this counseling or treatment?,boolean,,,for Affirmative Answer to Ordered to Counseling/Treatment because of Illegal Drug Use or Misuse of Prescription Drugs in the Past Five Years. Participation.,,mandatoryTreatmentActivities,treatmentReceived,
A,12 - Drug Activity,a-12-1330f0-0,2389,"Please explain. (Include why you did not get this counseling or treatment, the consequences of not getting it, if any, and any other important details.)",text,,,for Affirmative Answer to Ordered to Counseling/Treatment because of Illegal Drug Use or Misuse of Prescription Drugs in the Past Five Years. Did Not Participate.,,mandatoryTreatmentActivities,treatmentNotReceivedExplanation,
A,12 - Drug Activity,a-12-11913e-0,2392,Was this order a result of your intentional misuse of prescription drugs?,boolean,,,for Affirmative Answer to Ordered to Counseling/Treatment because of Illegal Drug Use or Misuse of Prescription Drugs in the Past Five Years. Intentional Prescription Question.,,mandatoryTreatmentActivities,dueToIntentionalMisuse,
A,12 - Drug Activity,a-12-27173a-0,2396,"What is the name of the prescription drug? (List all, if more than one.)",text,,,for Affirmative Answer to Ordered to Counseling/Treatment because of Illegal Drug Use or Misuse of Prescription Drugs in the Past Five Years. Identify Drug.,,mandatoryTreatmentActivities,drugName,Is this a repeated text field?
A,12 - Drug Activity,a-12-ad6a87-0,2399,Was this order a result of your illegal use of drugs or controlled substances?,boolean,,,for Affirmative Answer to Ordered to Counseling/Treatment because of Illegal Drug Use or Misuse of Prescription Drugs in the Past Five Years. Reason Order.,,mandatoryTreatmentActivities,dueToIllegalUse,
A,12 - Drug Activity,a-12-1293ff-0,2403,What is the type of drug or controlled substance? (Select all that apply.),dropdown,,DRUG_TYPE,for Affirmative Answer to Ordered to Counseling/Treatment because of Illegal Drug Use or Misuse of Prescription Drugs in the Past Five Years. Type of Controlled Substance.,,mandatoryTreatmentActivities,drugType,
A,12 - Drug Activity,a-12-1890fc-0,2406,Please explain.,text,,,for Affirmative Answer to Ordered to Counseling/Treatment because of Illegal Drug Use or Misuse of Prescription Drugs in the Past Five Years. Explanation for Selection of “Other” in Type of Controlled Substance Dropdown Menu.,,mandatoryTreatmentActivities,drugTypeOtherExplanation,
A,12 - Drug Activity,a-12-1d3368-0,2409,When did you get this counseling or treatment?,text,Present,,for Affirmative Answer to Ordered to Counseling/Treatment because of Illegal Drug Use or Misuse of Prescription Drugs in the Past Five Years. Treatment Details.,,mandatoryTreatmentActivities,treatmentIsCurrent,
A,12 - Drug Activity,a-12-ed6bc5-0,2412,From,month,Estimated,,for Affirmative Answer to Ordered to Counseling/Treatment because of Illegal Drug Use or Misuse of Prescription Drugs in the Past Five Years. Treatment Details.,,mandatoryTreatmentActivities,startDate,
A,12 - Drug Activity,a-12-1b4ac4-0,2415,To,month,Estimated,,for Affirmative Answer to Ordered to Counseling/Treatment because of Illegal Drug Use or Misuse of Prescription Drugs in the Past Five Years. Treatment Details.,,mandatoryTreatmentActivities,endDate,
A,12 - Drug Activity,a-12-8e2719-0,2418,Who is or was your counselor or treatment provider?,checkboxes,I Don't Know,,for Affirmative Answer to Ordered to Counseling/Treatment because of Illegal Drug Use or Misuse of Prescription Drugs in the Past Five Years. Treatment Details.,,mandatoryTreatmentActivities,providerNotKnown,"I changed the type from ""text"" to ""checkboxes"" since there are separate fields for the name, and all that's needed is the ""I don't know"" checkbox"
A,12 - Drug Activity,a-12-3cd09f-0,2421,Last Name,text,Letter(s) Only,,for Affirmative Answer to Ordered to Counseling/Treatment because of Illegal Drug Use or Misuse of Prescription Drugs in the Past Five Years. Treatment Details.,,mandatoryTreatmentActivities,providerLastName,
A,12 - Drug Activity,a-12-1632cc-0,2424,First Name,text,Letter(s) Only,,for Affirmative Answer to Ordered to Counseling/Treatment because of Illegal Drug Use or Misuse of Prescription Drugs in the Past Five Years. Treatment Details.,,mandatoryTreatmentActivities,providerFirstName,
A,12 - Drug Activity,a-12-184437-0,2427,Suffix,dropdown,None,SUFFIX,for Affirmative Answer to Ordered to Counseling/Treatment because of Illegal Drug Use or Misuse of Prescription Drugs in the Past Five Years. Treatment Details.,,mandatoryTreatmentActivities,providerSuffix,
A,12 - Drug Activity,a-12-ffa18e-0,2430,Does your treatment provider still practice?,dropdown,Yes|No|I Don't Know,YES_NO_DONTKNOW,for Affirmative Answer to Ordered to Counseling/Treatment because of Illegal Drug Use or Misuse of Prescription Drugs in the Past Five Years. Treatment Details.,,mandatoryTreatmentActivities,providerStillPractices,
A,12 - Drug Activity,a-12-9c33c3-0,2434,What is the name of the practice?,text,I Don't Know,,for Affirmative Answer to Ordered to Counseling/Treatment because of Illegal Drug Use or Misuse of Prescription Drugs in the Past Five Years. Treatment Details.,,mandatoryTreatmentActivities,providerPracticeName,
A,12 - Drug Activity,a-12-1167a2-0,2437,"Is your counselor, treatment provider, or the practice in the U.S.?",boolean,,,for Affirmative Answer to Ordered to Counseling/Treatment because of Illegal Drug Use or Misuse of Prescription Drugs in the Past Five Years. Treatment Details.,,mandatoryTreatmentActivities,providerInUs,
A,12 - Drug Activity,a-12-1037b9-0,2441,What is their phone number? (You may list more than one.),phone_number_and_type,I Don't Know,,for Affirmative Answer to Ordered to Counseling/Treatment because of Illegal Drug Use or Misuse of Prescription Drugs in the Past Five Years. Provider Phone Number,extra_chunks,mandatoryTreatmentActivities,providerPhoneNumber,
A,12 - Drug Activity,a-12-e81fa2-0,2446,What is their email address? (You may list more than one.),email_and_type,I Don't Know,,for Affirmative Answer to Ordered to Counseling/Treatment because of Illegal Drug Use or Misuse of Prescription Drugs in the Past Five Years. Provider Email,,mandatoryTreatmentActivities,providerEmail,
A,12 - Drug Activity,a-12-1aa22c-0,2451,"Street (include Apt #, Unit #, or Suite #, if applicable)",text,,,for Affirmative Answer to Ordered to Counseling/Treatment because of Illegal Drug Use or Misuse of Prescription Drugs in the Past Five Years. Provider U.S. Address,,mandatoryTreatmentActivities,providerUsAddressStreet,
A,12 - Drug Activity,a-12-4c15e6-0,2453,City,text,,,for Affirmative Answer to Ordered to Counseling/Treatment because of Illegal Drug Use or Misuse of Prescription Drugs in the Past Five Years. Provider U.S. Address,,mandatoryTreatmentActivities,providerUsAddressCity,
A,12 - Drug Activity,a-12-11a694-0,2455,State or Territory,dropdown,,STATE_OR_TERRITORY,for Affirmative Answer to Ordered to Counseling/Treatment because of Illegal Drug Use or Misuse of Prescription Drugs in the Past Five Years. Provider U.S. Address,,mandatoryTreatmentActivities,providerUsAddressState,
A,12 - Drug Activity,a-12-fdbc75-0,2457,ZIP Code,text,,,for Affirmative Answer to Ordered to Counseling/Treatment because of Illegal Drug Use or Misuse of Prescription Drugs in the Past Five Years. Provider U.S. Address,,mandatoryTreatmentActivities,providerUsAddressZipcode,
A,12 - Drug Activity,a-12-15ccd8-0,2459,Is this a U.S. military installation?,boolean,,,for Affirmative Answer to Ordered to Counseling/Treatment because of Illegal Drug Use or Misuse of Prescription Drugs in the Past Five Years. Provider U.S. Address,,mandatoryTreatmentActivities,providerUsAddressIsMilitaryInstallation,
A,12 - Drug Activity,a-12-1a64cf-0,2463,What is the name of the U.S. military installation?,text,,,"for Affirmative Answer to Ordered to Counseling/Treatment because of Illegal Drug Use or Misuse of Prescription Drugs in the Past Five Years. Provider U.S. Address, U.S. Military Installation",,mandatoryTreatmentActivities,providerUsAddressMilitaryInstallationName,
A,12 - Drug Activity,a-12-3a62da-0,2467,City,text,,,for Affirmative Answer to Ordered to Counseling/Treatment because of Illegal Drug Use or Misuse of Prescription Drugs in the Past Five Years. Provider Address not in U.S.,,mandatoryTreatmentActivities,providerNonUsAddressCity,
A,12 - Drug Activity,a-12-8a0253-0,2469,Country,dropdown,,COUNTRY,for Affirmative Answer to Ordered to Counseling/Treatment because of Illegal Drug Use or Misuse of Prescription Drugs in the Past Five Years. Provider Address not in U.S.,,mandatoryTreatmentActivities,providerNonUsAddressCountry,
A,12 - Drug Activity,a-12-13604a-0,2471,Is this a U.S. military installation or U.S. diplomatic facility?,boolean,,,for Affirmative Answer to Ordered to Counseling/Treatment because of Illegal Drug Use or Misuse of Prescription Drugs in the Past Five Years. Provider Address not in U.S.,,mandatoryTreatmentActivities,providerNonUsAddressIsUsgFacility,
A,12 - Drug Activity,a-12-132f37-0,2475,What is the name of the U.S. military installation or U.S. diplomatic facility?,text,Not Applicable (Text),,for Affirmative Answer to Ordered to Counseling/Treatment because of Illegal Drug Use or Misuse of Prescription Drugs in the Past Five Years. Provider Address not in U.S. but U.S. Military Installation or U.S. Diplomatic Facility.,,mandatoryTreatmentActivities,providerNonUsUsgFacilityname,
A,12 - Drug Activity,a-12-b86c5a-0,2478,What is the APO/FPO/DPO ZIP Code?,text,,,for Affirmative Answer to Ordered to Counseling/Treatment because of Illegal Drug Use or Misuse of Prescription Drugs in the Past Five Years. Provider Address not in U.S. but U.S. Military Installation or U.S. Diplomatic Facility.,,mandatoryTreatmentActivities,proivderNonUsAddressUsgFacilityPostcode,
A,12 - Drug Activity,a-12-1f8040-0,2481,Did you complete this counseling or treatment?,boolean,,,for Affirmative Answer to Ordered to Counseling/Treatment because of Illegal Drug Use or Misuse of Prescription Drugs in the Past Five Years. Completed Question,,mandatoryTreatmentActivities,treatmentCompleted,
A,12 - Drug Activity,a-12-1d4149-0,2485,Why was treatment not completed?,text,,,for Affirmative Answer to Ordered to Counseling/Treatment because of Illegal Drug Use or Misuse of Prescription Drugs in the Past Five Years. Not Completed.,,mandatoryTreatmentActivities,treatmentNotCompletedReason,
A,12 - Drug Activity,a-12-188210-0,2486,What is the current status of your counseling or treatment?,text,,,for Affirmative Answer to Ordered to Counseling/Treatment because of Illegal Drug Use or Misuse of Prescription Drugs in the Past Five Years. Not Completed.,,mandatoryTreatmentActivities,treatmentCurrentStatus,
A,12 - Drug Activity,a-12-18ad1c-0,2490,"Do you have another instance where you were ordered to get counseling or treatment as a result of your illegal use of drugs, controlled substances (excluding marijuana or cannabis derivatives), or misuse of prescription drugs in the past five years or since the age of 16 (if you are under 21) to report?",boolean,,,for Affirmative Answer to Ordered to Counseling/Treatment because of Illegal Drug Use or Misuse of Prescription Drugs in the Past Five Years. Another Instance,,,IGNORE,
A,12 - Drug Activity,a-12-19a599-0,2494,"Have you voluntarily been to counseling or treatment as a result of your illegal use of drugs or controlled substances (excluding marijuana or cannabis derivatives), or your misuse of prescription drug in the past five years or since the age of 16 (if you are under 21)?",boolean,,,,,,hadVoluntaryTreatment,
A,12 - Drug Activity,a-12-4f25b4-0,2498,Was this voluntary counseling based on advice or a recommendation from one or more of the following? (Select all that apply.),dropdown,,COUNSELING_VOLUNTARY,for Affirmative Answer to Voluntary Treatment because of Illegal Drug Use or Misuse of Prescription Drugs in the Past Five Years. Who Recommended.,,voluntaryTreatmentActivities,treatmentRecommendationSource,
A,12 - Drug Activity,a-12-fab6eb-0,2501,Please explain.,text,,,for Affirmative Answer to Voluntary Treatment because of Illegal Drug Use or Misuse of Prescription Drugs in the Past Five Years. Explanation on who recommended.,,voluntaryTreatmentActivities,treatmentRecommendationSourceOtherExplanation,
A,12 - Drug Activity,a-12-17288c-0,2504,Is or was your counseling or treatment a result of your intentional misuse of prescription drugs?,boolean,,,for Affirmative Answer to Voluntary Treatment because of Illegal Drug Use or Misuse of Prescription Drugs in the Past Five Years. Intentional Misuse of Prescription Drugs.,,voluntaryTreatmentActivities,dueToIntentionalMisuse,
A,12 - Drug Activity,a-12-40e7a8-0,2508,"What is the name of the prescription drug? (List all, if more than one.)",text,,,for Affirmative Answer to Voluntary Treatment because of Illegal Drug Use or Misuse of Prescription Drugs in the Past Five Years. Affirmative to Prescription.,,voluntaryTreatmentActivities,drugName,Does this need a note about how to enter multiple drugs? I.e. separated by commas?
A,12 - Drug Activity,a-12-cbdbda-0,2511,Is or was your counseling or treatment a result of your illegal use of drugs or controlled substances?,boolean,,,for Affirmative Answer to Voluntary Treatment because of Illegal Drug Use or Misuse of Prescription Drugs in the Past Five Years. Illegal Use of Drugs/Controlled Substance.,,voluntaryTreatmentActivities,dueToIllegalUse,
A,12 - Drug Activity,a-12-10c10d-0,2515,What is the type of drug or controlled substance? (Select all that apply.),dropdown,,DRUG_TYPE,for Affirmative Answer to Voluntary Treatment because of Illegal Drug Use or Misuse of Prescription Drugs in the Past Five Years. Type of Drug or Controlled Substance.,,voluntaryTreatmentActivities,drugType,
A,12 - Drug Activity,a-12-26f2f7-0,2518,Please explain.,text,,,for Affirmative Answer to Voluntary Treatment because of Illegal Drug Use or Misuse of Prescription Drugs in the Past Five Years. Explanation for Selection of “Other” in Drug Type Dropdown Menu.,,voluntaryTreatmentActivities,drugTypeOtherExplanation,
A,12 - Drug Activity,a-12-1f0421-0,2521,When did you get this counseling or treatment?,text,,,for Affirmative Answer to Voluntary Treatment because of Illegal Drug Use or Misuse of Prescription Drugs in the Past Five Years. Treatment Provider Details.,,voluntaryTreatmentActivities,INSPECT_LATER,I think this should be skipped… seems duplicative with next 2 questions
A,12 - Drug Activity,a-12-15b6b1-0,2523,From,month,Estimated,,for Affirmative Answer to Voluntary Treatment because of Illegal Drug Use or Misuse of Prescription Drugs in the Past Five Years. Treatment Provider Details.,,voluntaryTreatmentActivities,startDate,
A,12 - Drug Activity,a-12-1efc02-0,2526,To,month,Estimated|Present,,for Affirmative Answer to Voluntary Treatment because of Illegal Drug Use or Misuse of Prescription Drugs in the Past Five Years. Treatment Provider Details.,,voluntaryTreatmentActivities,endDate,
A,12 - Drug Activity,a-12-808a53-0,2530,Who is or was your counselor or treatment provider?,boolean,I Don't Know,,for Affirmative Answer to Voluntary Treatment because of Illegal Drug Use or Misuse of Prescription Drugs in the Past Five Years. Treatment Provider Details.,,voluntaryTreatmentActivities,providerNotKnown,I think the text box should be omitted… duplicative with following name fields
A,12 - Drug Activity,a-12-1052ae-0,2533,Last Name,text,Letter(s) Only,,for Affirmative Answer to Voluntary Treatment because of Illegal Drug Use or Misuse of Prescription Drugs in the Past Five Years. Treatment Provider Details.,,voluntaryTreatmentActivities,providerLastName,
A,12 - Drug Activity,a-12-15f364-0,2536,First Name,text,Letter(s) Only,,for Affirmative Answer to Voluntary Treatment because of Illegal Drug Use or Misuse of Prescription Drugs in the Past Five Years. Treatment Provider Details.,,voluntaryTreatmentActivities,providerFirstName,
A,12 - Drug Activity,a-12-9f998f-0,2539,Suffix,dropdown,None,SUFFIX,for Affirmative Answer to Voluntary Treatment because of Illegal Drug Use or Misuse of Prescription Drugs in the Past Five Years. Treatment Provider Details.,,voluntaryTreatmentActivities,providerSuffix,
A,12 - Drug Activity,a-12-fea9c5-0,2542,What is the name of their practice?,text,I Don't Know,,for Affirmative Answer to Voluntary Treatment because of Illegal Drug Use or Misuse of Prescription Drugs in the Past Five Years. Treatment Provider Details.,,voluntaryTreatmentActivities,providerPracticeName,
A,12 - Drug Activity,a-12-106254-0,2545,Does your counselor or treatment provider still practice?,dropdown,Yes|No|I Don't Know,YES_NO_DONTKNOW,for Affirmative Answer to Voluntary Treatment because of Illegal Drug Use or Misuse of Prescription Drugs in the Past Five Years. Treatment Provider Details.,,voluntaryTreatmentActivities,providerStillPractices,
A,12 - Drug Activity,a-12-19a220-0,2550,What is their phone number? (You may list more than one.),phone_number_and_type,I Don't Know,,for Affirmative Answer to Voluntary Treatment because of Illegal Drug Use or Misuse of Prescription Drugs in the Past Five Years. Provider Phone Number,extra_chunks,voluntaryTreatmentActivities,providerPhoneNumber,
A,12 - Drug Activity,a-12-6a61c2-0,2555,What is their email address? (You may list more than one.),email_and_type,I Don't Know,,for Affirmative Answer to Voluntary Treatment because of Illegal Drug Use or Misuse of Prescription Drugs in the Past Five Years. Provider Email,,voluntaryTreatmentActivities,providerEmail,
A,12 - Drug Activity,a-12-9ef401-0,2559,"Is your counselor, treatment provider, or the practice in the U.S.?",boolean,,,for Affirmative Answer to Voluntary Treatment because of Illegal Drug Use or Misuse of Prescription Drugs in the Past Five Years. Provider Practice in U.S. Question.,,voluntaryTreatmentActivities,providerInUs,
A,12 - Drug Activity,a-12-869113-0,2564,"Street (include Apt #, Unit #, or Suite #, if applicable)",text,,,for Affirmative Answer to Voluntary Treatment because of Illegal Drug Use or Misuse of Prescription Drugs in the Past Five Years. Provider U.S. Address.,,voluntaryTreatmentActivities,providerUsAddressStreet,
A,12 - Drug Activity,a-12-13208a-0,2566,City,text,,,for Affirmative Answer to Voluntary Treatment because of Illegal Drug Use or Misuse of Prescription Drugs in the Past Five Years. Provider U.S. Address.,,voluntaryTreatmentActivities,providerUsAddressCity,
